iter	Passed	Remaining
0	159	31662
1	171	17010
2	186	12225
3	199	9768
4	213	8330
5	227	7363
6	242	6673
7	255	6122
8	267	5686
9	281	5356
10	295	5072
11	309	4843
12	324	4670
13	339	4510
14	353	4365
15	370	4260
16	386	4164
17	401	4062
18	416	3971
19	430	3876
20	445	3797
21	460	3725
22	473	3641
23	498	3658
24	534	3739
25	555	3717
26	575	3686
27	589	3619
28	602	3553
29	615	3490
30	627	3419
31	638	3353
32	654	3313
33	669	3268
34	682	3219
35	696	3174
36	708	3122
37	720	3069
38	732	3025
39	746	2986
40	761	2952
41	780	2937
42	793	2898
43	808	2867
44	821	2828
45	834	2792
46	847	2759
47	865	2742
48	877	2705
49	887	2663
50	901	2633
51	915	2604
52	927	2572
53	939	2541
54	955	2519
55	978	2516
56	992	2489
57	1004	2458
58	1017	2431
59	1028	2398
60	1040	2371
61	1052	2342
62	1063	2312
63	1075	2285
64	1084	2253
65	1096	2226
66	1107	2199
67	1117	2169
68	1128	2142
69	1138	2115
70	1148	2087
71	1159	2062
72	1170	2036
73	1180	2010
74	1195	1993
75	1219	1990
76	1238	1978
77	1254	1961
78	1267	1941
79	1281	1921
80	1295	1903
81	1308	1883
82	1320	1861
83	1333	1840
84	1349	1825
85	1365	1809
86	1392	1808
87	1403	1786
88	1413	1763
89	1424	1740
90	1435	1719
91	1446	1698
92	1464	1684
93	1476	1664
94	1488	1645
95	1512	1638
96	1534	1629
97	1547	1611
98	1560	1591
99	1570	1570
100	1582	1550
101	1595	1532
102	1607	1514
103	1620	1495
104	1630	1474
105	1639	1453
106	1649	1433
107	1659	1413
108	1669	1393
109	1679	1373
110	1689	1354
111	1699	1334
112	1708	1315
113	1719	1297
114	1734	1281
115	1749	1267
116	1760	1248
117	1774	1232
118	1786	1215
119	1795	1197
120	1805	1178
121	1815	1160
122	1824	1142
123	1835	1124
124	1845	1107
125	1857	1090
126	1886	1084
127	1897	1067
128	1908	1050
129	1918	1033
130	1927	1015
131	1938	998
132	1954	984
133	2041	1005
134	2090	1006
135	2112	994
136	2143	985
137	2161	971
138	2175	954
139	2188	938
140	2202	921
141	2215	904
142	2227	887
143	2240	871
144	2251	854
145	2270	839
146	2294	827
147	2312	812
148	2327	796
149	2347	782
150	2361	766
151	2375	750
152	2389	733
153	2404	718
154	2418	702
155	2434	686
156	2448	670
157	2464	655
158	2480	639
159	2508	627
160	2526	611
161	2545	597
162	2561	581
163	2576	565
164	2587	548
165	2602	532
166	2617	517
167	2634	501
168	2650	486
169	2666	470
170	2681	454
171	2702	439
172	2713	423
173	2731	408
174	2755	393
175	2775	378
176	2796	363
177	2809	347
178	2822	331
179	2836	315
180	2852	299
181	2866	283
182	2891	268
183	2901	252
184	2914	236
185	2929	220
186	2946	204
187	2964	189
188	2975	173
189	2990	157
190	3006	141
191	3020	125
192	3037	110
193	3052	94
194	3066	78
195	3080	62
196	3094	47
197	3106	31
198	3116	15
199	3140	0
