iter	Passed	Remaining
0	113	22619
1	123	12204
2	136	8979
3	152	7476
4	177	6918
5	192	6215
6	204	5649
7	215	5176
8	229	4871
9	244	4644
10	262	4513
11	278	4360
12	294	4238
13	308	4094
14	323	3983
15	336	3873
16	350	3771
17	363	3676
18	376	3584
19	386	3482
20	398	3394
21	414	3352
22	430	3310
23	442	3244
24	454	3183
25	464	3111
26	476	3054
27	487	2997
28	502	2963
29	517	2932
30	528	2879
31	543	2852
32	554	2808
33	564	2757
34	578	2727
35	592	2699
36	604	2664
37	615	2622
38	625	2580
39	640	2562
40	657	2549
41	669	2519
42	682	2492
43	695	2465
44	706	2434
45	717	2400
46	731	2380
47	747	2367
48	762	2349
49	777	2332
50	793	2317
51	809	2304
52	824	2287
53	839	2269
54	853	2250
55	867	2229
56	877	2202
57	893	2186
58	905	2163
59	918	2142
60	935	2131
61	949	2113
62	963	2095
63	1015	2157
64	1039	2158
65	1054	2140
66	1067	2119
67	1104	2143
68	1121	2128
69	1135	2108
70	1147	2085
71	1157	2057
72	1170	2036
73	1183	2014
74	1197	1995
75	1210	1974
76	1220	1949
77	1229	1923
78	1244	1905
79	1257	1886
80	1271	1868
81	1283	1846
82	1292	1821
83	1304	1801
84	1318	1784
85	1332	1765
86	1346	1748
87	1357	1727
88	1375	1715
89	1397	1708
90	1415	1696
91	1439	1689
92	1462	1682
93	1496	1687
94	1509	1668
95	1532	1659
96	1548	1643
97	1565	1629
98	1582	1614
99	1600	1600
100	1623	1591
101	1640	1576
102	1657	1560
103	1670	1542
104	1682	1521
105	1694	1502
106	1709	1486
107	1725	1469
108	1739	1452
109	1751	1432
110	1768	1418
111	1783	1401
112	1798	1384
113	1814	1368
114	1829	1352
115	1849	1339
116	1865	1323
117	1884	1309
118	1904	1296
119	1919	1279
120	1936	1264
121	1952	1248
122	1969	1232
123	1983	1215
124	1994	1196
125	2013	1182
126	2031	1167
127	2049	1152
128	2064	1136
129	2080	1120
130	2092	1102
131	2107	1085
132	2123	1069
133	2136	1052
134	2149	1034
135	2161	1017
136	2178	1001
137	2190	983
138	2205	967
139	2223	952
140	2234	935
141	2249	918
142	2265	902
143	2285	888
144	2305	874
145	2322	858
146	2339	843
147	2355	827
148	2370	811
149	2384	794
150	2398	778
151	2417	763
152	2435	748
153	2451	732
154	2467	716
155	2484	700
156	2495	683
157	2510	667
158	2526	651
159	2540	635
160	2554	618
161	2569	602
162	2584	586
163	2600	570
164	2613	554
165	2630	538
166	2644	522
167	2658	506
168	2672	490
169	2684	473
170	2698	457
171	2709	441
172	2724	425
173	2739	409
174	2752	393
175	2767	377
176	2784	361
177	2863	353
178	2890	339
179	2907	323
180	2987	313
181	2998	296
182	3012	279
183	3026	263
184	3043	246
185	3059	230
186	3071	213
187	3089	197
188	3103	180
189	3115	163
190	3131	147
191	3143	130
192	3154	114
193	3169	98
194	3184	81
195	3199	65
196	3212	48
197	3230	32
198	3247	16
199	3261	0
