iter	Logloss
0	0.6650303955
1	0.6325852051
2	0.6037492065
3	0.5793137207
4	0.5579552002
5	0.5324528809
6	0.5140979614
7	0.4936520996
8	0.4739851074
9	0.4559659424
10	0.440473938
11	0.4261603394
12	0.4121602783
13	0.397571167
14	0.3864291687
15	0.3753668823
16	0.3651287842
17	0.3541184082
18	0.3461175537
19	0.3380368042
20	0.3313784485
21	0.3254812927
22	0.3184978027
23	0.311322052
24	0.3057853394
25	0.2999759521
26	0.2959143982
27	0.2912907715
28	0.2872934265
29	0.2845113831
30	0.280592926
31	0.2762925415
32	0.2720954895
33	0.2690262451
34	0.2661644287
35	0.2634212646
36	0.2612767029
37	0.258881897
38	0.2556718292
39	0.2533159637
40	0.2514753113
41	0.249749939
42	0.2472841644
43	0.2449622498
44	0.2433197021
45	0.2416490784
46	0.2390530701
47	0.2376352692
48	0.2354244385
49	0.2338404846
50	0.2318617249
51	0.230502533
52	0.2290130615
53	0.2272351227
54	0.2249804993
55	0.2228226318
56	0.2214666443
57	0.2204403229
58	0.2188716431
59	0.21717099
60	0.2153911591
61	0.2142858429
62	0.2127375183
63	0.2113837585
64	0.2101303406
65	0.2085014191
66	0.2075982361
67	0.206849472
68	0.2057547607
69	0.2051091614
70	0.20356604
71	0.2028863831
72	0.2014930725
73	0.2006341553
74	0.1998500366
75	0.1992072449
76	0.1984432373
77	0.1977172241
78	0.1969241028
79	0.1961054688
80	0.1951478271
81	0.1941772461
82	0.1935619812
83	0.1928867493
84	0.1924756012
85	0.1920758362
86	0.1910031891
87	0.1902105865
88	0.1896296387
89	0.1887924194
90	0.188219223
91	0.1875230103
92	0.186891098
93	0.1861150208
94	0.1855447998
95	0.1848969879
96	0.184359375
97	0.1836960754
98	0.1831687775
99	0.1826885376
100	0.1823021393
101	0.181766983
102	0.1810411682
103	0.1804854126
104	0.1799901581
105	0.1794996033
106	0.1790005341
107	0.1783767242
108	0.1776947937
109	0.1771876221
110	0.1767369995
111	0.1763680115
112	0.1757905884
113	0.1754330139
114	0.1750977173
115	0.1746533356
116	0.1742276917
117	0.1737444
118	0.1732538757
119	0.1729350739
120	0.1724445801
121	0.1720067139
122	0.1717434692
123	0.1714344482
124	0.1708640594
125	0.1703496857
126	0.1699971771
127	0.1696800232
128	0.1692151489
129	0.168853775
130	0.1685003967
131	0.1681407776
132	0.1678023682
133	0.167529541
134	0.167290802
135	0.1668114166
136	0.1664621277
137	0.1660366669
138	0.165666153
139	0.1652001648
140	0.1648979797
141	0.1646123199
142	0.1642651062
143	0.163828537
144	0.1637211761
145	0.1634472504
146	0.1631365662
147	0.1628254089
148	0.1624328003
149	0.1620670624
150	0.1616314697
151	0.1612892151
152	0.1610568237
153	0.1607624054
154	0.1604580688
155	0.1602402039
156	0.1599151001
157	0.159584549
158	0.1591468353
159	0.1587086487
160	0.1584058838
161	0.1580269165
162	0.1576491547
163	0.1573493347
164	0.1571513672
165	0.1568638763
166	0.156418808
167	0.1560930634
168	0.1557973328
169	0.1555278015
170	0.155264679
171	0.1549899597
172	0.1547087097
173	0.1543426666
174	0.1540515747
175	0.1538490295
176	0.1536421967
177	0.1533798523
178	0.1531629639
179	0.1527999725
180	0.1525851746
181	0.1523442688
182	0.1521492004
183	0.1518927612
184	0.1515820312
185	0.1513197937
186	0.1510224609
187	0.1508432312
188	0.1505552979
189	0.1503730316
190	0.1501433411
191	0.1499024048
192	0.1497120972
193	0.1494867554
194	0.1492223511
195	0.1489545441
196	0.1488460693
197	0.1485875854
198	0.1484365692
199	0.148155365
200	0.1479439392
201	0.1477366028
202	0.1474484558
203	0.1472735901
204	0.1471108246
205	0.1467866058
206	0.1464991455
207	0.1464032745
208	0.1461613007
209	0.1460472717
210	0.1458315735
211	0.1455968018
212	0.1452991943
213	0.1451695862
214	0.144927063
215	0.144743927
216	0.1444745941
217	0.1442875671
218	0.1440430603
219	0.1438761597
220	0.1437073669
221	0.1434754333
222	0.1431969604
223	0.1430696106
224	0.1429052429
225	0.1426208191
226	0.1426058044
227	0.1424292297
228	0.1422634583
229	0.1420270386
230	0.1419195251
231	0.1417580872
232	0.1415963898
233	0.1414580688
234	0.1412908325
235	0.1410680695
236	0.1408676453
237	0.1407156219
238	0.1405298767
239	0.1403887329
240	0.1401981354
241	0.1400259552
242	0.1398537598
